time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter,.fixed_quality
2023/02/20/17:56:08.187160,0,82568,0,GNSS,42.33826604666667,71.08661754333333,33.153,0.62,671894.0539727081,4689443.226153569,225608.0,42,T,4
2023/02/20/17:56:09.179869,0,82569,0,GNSS,42.33826603333333,71.08661755333334,33.155,0.62,671894.0548328663,4689443.224693218,225609.0,42,T,4
2023/02/20/17:56:10.176390,0,82570,0,GNSS,42.33826600166667,71.08661752833333,33.153,0.62,671894.0528595855,4689443.221126337,225610.0,42,T,4
2023/02/20/17:56:11.191626,0,82571,0,GNSS,42.338266015,71.08661752833333,33.153,0.62,671894.052823254,4689443.222606903,225611.0,42,T,4
2023/02/20/17:56:12.442114,0,82572,0,GNSS,42.33826600333333,71.08661754333333,33.158,0.62,671894.0540907853,4689443.221341731,225612.0,42,T,4
2023/02/20/17:56:13.186353,0,82573,0,GNSS,42.33826602166667,71.08661755666667,33.155,0.62,671894.0551392667,4689443.223404463,225613.0,42,T,4
2023/02/20/17:56:14.178864,0,82574,0,GNSS,42.33826602166667,71.08661755666667,33.153,0.62,671894.0551392667,4689443.223404463,225614.0,42,T,4
2023/02/20/17:56:15.188622,0,82575,0,GNSS,42.338266026666666,71.086617515,33.16,0.62,671894.051693027,4689443.223875442,225615.0,42,T,4
2023/02/20/17:56:16.207579,0,82576,0,GNSS,42.338266035,71.08661754833334,33.155,0.62,671894.0544164104,4689443.224868181,225616.0,42,T,4
2023/02/20/17:56:17.224475,0,82577,0,GNSS,42.338265996666664,71.08661751166666,33.159,0.62,671894.0515001644,4689443.2205374325,225617.0,42,T,4
2023/02/20/17:56:18.187201,0,82578,0,GNSS,42.338265981666666,71.08661752666667,33.159,0.62,671894.0527767786,4689443.21890212,225618.0,42,T,4
2023/02/20/17:56:19.195673,0,82579,0,GNSS,42.338266018333336,71.08661754833334,33.157,0.62,671894.0544618247,4689443.223017476,225619.0,42,T,4
2023/02/20/17:56:20.165481,0,82580,0,GNSS,42.33826599166667,71.08661753666667,33.158,0.62,671894.0535733567,4689443.220032761,225620.0,42,T,4
2023/02/20/17:56:21.152439,0,82581,0,GNSS,42.338266018333336,71.08661753666667,33.157,0.62,671894.0535006939,4689443.222993891,225621.0,42,T,4
2023/02/20/17:56:22.158343,0,82582,0,GNSS,42.33826603,71.08661753166666,33.156,0.62,671894.0530569894,4689443.224279277,225622.0,42,T,4
2023/02/20/17:56:23.198260,0,82583,0,GNSS,42.338266018333336,71.0866175,33.159,0.62,671894.050479993,4689443.222919766,225623.0,42,T,4
2023/02/20/17:56:24.182518,0,82584,0,GNSS,42.338266035,71.086617505,33.156,0.62,671894.0508464952,4689443.22478058,225624.0,42,T,4
2023/02/20/17:56:25.219974,0,82585,0,GNSS,42.33826604,71.08661753666667,33.156,0.62,671894.0534416552,4689443.225399808,225625.0,42,T,4
2023/02/20/17:56:26.188683,0,82586,0,GNSS,42.338266016666665,71.08661752833333,33.161,0.62,671894.0528187127,4689443.222791973,225626.0,42,T,4
2023/02/20/17:56:27.195514,0,82587,0,GNSS,42.33826603166667,71.08661755,33.152,0.62,671894.0545627974,4689443.2245014105,225627.0,42,T,4
2023/02/20/17:56:28.171187,0,82588,0,GNSS,42.33826603166667,71.08661753833333,33.155,0.62,671894.0536016666,4689443.224477826,225628.0,42,T,4
2023/02/20/17:56:29.171291,0,82589,0,GNSS,42.33826603166667,71.086617525,33.153,0.62,671894.0525032316,4689443.22445087,225629.0,42,T,4
2023/02/20/17:56:30.176903,0,82590,0,GNSS,42.33826600166667,71.08661753,33.153,0.62,671894.0529968897,4689443.221129706,225630.0,42,T,4
2023/02/20/17:56:31.162079,0,82591,0,GNSS,42.338266026666666,71.08661752833333,33.153,0.62,671894.052791464,4689443.223902396,225631.0,42,T,4
2023/02/20/17:56:32.185971,0,82592,0,GNSS,42.33826604,71.08661752833333,33.151,0.62,671894.0527551326,4689443.225382961,225632.0,42,T,4
2023/02/20/17:56:33.307842,0,82593,0,GNSS,42.33826601,71.08661750166667,33.147,0.62,671894.0506400042,4689443.221997781,225633.0,42,T,4
2023/02/20/17:56:34.187132,0,82594,0,GNSS,42.33826600166667,71.08661752,33.153,0.62,671894.0521730629,4689443.22110949,225634.0,42,T,4
2023/02/20/17:56:35.199526,0,82595,0,GNSS,42.33826599,71.08661750833333,33.151,0.62,671894.051243722,4689443.219790412,225635.0,42,T,4
2023/02/20/17:56:36.169219,0,82596,0,GNSS,42.33826602166667,71.08661753333334,33.154,0.62,671894.0532170007,4689443.223357293,225636.0,42,T,4
2023/02/20/17:56:37.171878,0,82597,0,GNSS,42.33826602,71.08661753333334,33.152,0.62,671894.0532215422,4689443.223172222,225637.0,42,T,4
2023/02/20/17:56:38.168519,0,82598,0,GNSS,42.338266006666665,71.08661751,33.15,0.62,671894.0513356118,4689443.221644486,225638.0,42,T,4
2023/02/20/17:56:39.174981,0,82599,0,GNSS,42.338266025,71.08661751666666,33.152,0.62,671894.0518348725,4689443.223693742,225639.0,42,T,4
2023/02/20/17:56:40.150191,0,82600,0,GNSS,42.33826602833334,71.08661752166667,33.15,0.62,671894.052237704,4689443.224073989,225640.0,42,T,4
2023/02/20/17:56:41.191698,0,82601,0,GNSS,42.33826603,71.08661754,33.154,0.62,671894.0537435142,4689443.224296124,225641.0,42,T,4
2023/02/20/17:56:42.177322,0,82602,0,GNSS,42.338266016666665,71.08661753833333,33.148,0.62,671894.0536425394,4689443.222812189,225642.0,42,T,4
2023/02/20/17:56:43.196323,0,82603,0,GNSS,42.33826603666667,71.08661755666667,33.151,0.62,671894.0550983937,4689443.225070099,225643.0,42,T,4
2023/02/20/17:56:44.174604,0,82604,0,GNSS,42.338266026666666,71.08661754,33.152,0.62,671894.053752597,4689443.223925982,225644.0,42,T,4
2023/02/20/17:56:45.191332,0,82605,0,GNSS,42.33826603333333,71.0866175,33.147,0.62,671894.05043912,4689443.2245854,225645.0,42,T,4
2023/02/20/17:56:46.170667,0,82606,0,GNSS,42.338266015,71.08661752333333,33.149,0.62,671894.0524113396,4689443.222596794,225646.0,42,T,4
2023/02/20/17:56:47.195354,0,82607,0,GNSS,42.338265995,71.08661749833334,33.151,0.62,671894.0504062688,4689443.220325408,225647.0,42,T,4
2023/02/20/17:56:48.180880,0,82608,0,GNSS,42.33826606666667,71.08661752,33.15,0.62,671894.051995947,4689443.228327245,225648.0,42,T,4
