time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.imu.header.seq,.imu.header.stamp.secs,.imu.header.stamp.nsecs,.imu.header.frame_id,.imu.orientation.x,.imu.orientation.y,.imu.orientation.z,.imu.orientation.w,.imu.orientation_covariance,.imu.angular_velocity.x,.imu.angular_velocity.y,.imu.angular_velocity.z,.imu.angular_velocity_covariance,.imu.linear_acceleration.x,.imu.linear_acceleration.y,.imu.linear_acceleration.z,.imu.linear_acceleration_covariance,.mag_field.header.seq,.mag_field.header.stamp.secs,.mag_field.header.stamp.nsecs,.mag_field.header.frame_id,.mag_field.magnetic_field.x,.mag_field.magnetic_field.y,.mag_field.magnetic_field.z,.mag_field.magnetic_field_covariance,.raw_imu_string
2023/03/02/14:12:32.253022,2246,1677784352,249242544,imu1_frame,0,0,0,,0.1761635616634118,0.25745192359079627,0.43799800088670304,0.8431148544538352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.27974,0.325406,0.284307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.3,7.09,-7.906,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.191,-0.4538,-0.1879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.278815,2247,1677784352,274337053,imu1_frame,0,0,0,,0.16925253770940574,0.25476333373103416,0.4449364745675834,0.8417129890078601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.556942,0.213551,0.401062,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.19,6.973,-9.242,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1854,-0.4513,-0.1842,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.303113,2248,1677784352,299253702,imu1_frame,0,0,0,,0.15904788190070066,0.2525653998475752,0.45246712785710436,0.8403499201353436,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.626782,0.150532,0.511016,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.123,5.895,-9.479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1797,-0.4571,-0.1777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.327968,2249,1677784352,324035167,imu1_frame,0,0,0,,0.14934222385931628,0.2517237230330117,0.45873904121643194,0.8389818588616694,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.45843,0.015951,0.471851,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.198,4.836,-9.508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.174,-0.4617,-0.1727,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.353643,2250,1677784352,349344968,imu1_frame,0,0,0,,0.14264073847593883,0.2528304726010534,0.46230495786933357,0.83785708672828,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.178811,0.125328,0.369885,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.135,4.553,-9.307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1694,-0.4628,-0.1622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.378075,2251,1677784352,374310493,imu1_frame,0,0,0,,0.13867575750834096,0.2554740367850136,0.46362091281021284,0.8369932496820284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016216,0.213943,0.284859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.106,4.674,-9.023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1672,-0.464,-0.1636,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.402929,2252,1677784352,398954153,imu1_frame,0,0,0,,0.13639191796991793,0.25937208420499425,0.4637325802707413,0.8361073260312248,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.144999,0.223387,0.321278,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.122,5.106,-8.315,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1604,-0.4674,-0.1613,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.427953,2253,1677784352,424158096,imu1_frame,0,0,0,,0.13505582920666692,0.2643337357520984,0.46376632535275425,0.8347504984182055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.286979,0.250433,0.341944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.142,4.628,-8.214,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1571,-0.4662,-0.1629,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.453194,2254,1677784352,449037313,imu1_frame,0,0,0,,0.1344825150936409,0.2700550504180088,0.46315319190342813,0.8333509727044672,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.326951,0.264667,0.352018,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.296,4.674,-7.847,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1527,-0.4637,-0.1726,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.478387,2255,1677784352,474583864,imu1_frame,0,0,0,,0.13408796073491125,0.2758124713310328,0.46261909679570246,0.8318241825795577,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.36179,0.239257,0.352287,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.396,4.67,-7.767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1482,-0.4637,-0.1675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.503129,2256,1677784352,499092340,imu1_frame,0,0,0,,0.13418685363603072,0.28190851135357076,0.4621997320162292,0.8299957152068931,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.425446,0.220068,0.397074,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.441,4.975,-7.968,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1449,-0.4589,-0.1732,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.528278,2257,1677784352,524109125,imu1_frame,0,0,0,,0.1343907028111515,0.28828600019943895,0.46164412987371184,0.8280791136359359,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.435455,0.247024,0.357118,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.465,4.615,-8.051,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1438,-0.46,-0.1773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.553625,2258,1677784352,549509048,imu1_frame,0,0,0,,0.13469367034743007,0.29408513808653947,0.46031999242920946,0.8267267089521976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.298573,0.251937,0.306943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.585,5.066,-7.857,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1392,-0.4635,-0.1788,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.578535,2259,1677784352,574579477,imu1_frame,0,0,0,,0.13399363751881269,0.2980656107737467,0.4599268176084652,0.8256330415039722,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.249788,0.147845,0.216105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.607,4.92,-8.177,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1371,-0.4611,-0.1871,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.602914,2260,1677784352,598974466,imu1_frame,0,0,0,,0.1347671356209666,0.301666193698718,0.4588954237987317,0.8247728879833709,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.332493,0.134741,0.1445,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.68,5.081,-8.353,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1316,-0.4551,-0.1902,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.628283,2261,1677784352,624340772,imu1_frame,0,0,0,,0.13702540665021642,0.30605994511002366,0.45643395204328086,0.8241476781219155,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.410953,0.235984,0.115305,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.785,5.299,-8.282,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1316,-0.4575,-0.1915,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.653740,2262,1677784352,649649620,imu1_frame,0,0,0,,0.14008188003821878,0.3111136562170944,0.4532405914628847,0.8235036891541921,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.474351,0.239262,0.113186,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.818,5.285,-8.093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1315,-0.4622,-0.1982,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.678382,2263,1677784352,674570322,imu1_frame,0,0,0,,0.14415653408353857,0.3164833016635504,0.44936321489217834,0.8228790400483693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.523625,0.263668,0.090876,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.882,5.717,-8.127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1305,-0.4551,-0.2037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.704057,2264,1677784352,699946165,imu1_frame,0,0,0,,0.14808486929796,0.3224683087245011,0.44525705677328214,0.8220895418060982,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.567751,0.277464,0.144378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.958,5.562,-7.826,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1305,-0.4586,-0.2037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.727900,2265,1677784352,723807334,imu1_frame,0,0,0,,0.15247399968646164,0.32890931263642487,0.4406727495477615,0.8212051334999455,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.613423,0.30616,0.150249,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.147,5.452,-7.664,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1283,-0.4574,-0.2146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.752999,2266,1677784352,748912334,imu1_frame,0,0,0,,0.15774873043325519,0.3352745790939975,0.43542206933277094,0.8204351992680511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.662078,0.296427,0.07587,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.218,5.45,-7.516,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1251,-0.4491,-0.2216,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.779657,2267,1677784352,775575876,imu1_frame,0,0,0,,0.16429914356913497,0.3411279222252828,0.4294147622969879,0.8199027344887512,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.664795,0.304437,0.016722,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.282,5.372,-7.655,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1262,-0.4503,-0.2269,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.804272,2268,1677784352,799713850,imu1_frame,0,0,0,,0.17357067908845586,0.3469468381234282,0.42121619086340467,0.8198036541949859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.81199,0.363019,0.158137,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.492,6.614,-7.574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1276,-0.4397,-0.2337,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.828599,2269,1677784352,824697971,imu1_frame,0,0,0,,0.1840646579375699,0.3537547293327933,0.41159805902848623,0.8194905923663738,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.897785,0.437776,0.069313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.502,7.436,-7.286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1298,-0.4397,-0.2484,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.854376,2270,1677784352,850277185,imu1_frame,0,0,0,,0.19359275662281183,0.3610856353834808,0.4021078738011714,0.8188090536443707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.808039,0.423729,0.046359,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.605,7.687,-6.88,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1344,-0.4374,-0.2535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.878366,2271,1677784352,874224662,imu1_frame,0,0,0,,0.2003365316014662,0.368475432690451,0.39384361431856707,0.8179109591330632,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.678334,0.450369,0.1804,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.496,7.577,-6.844,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1323,-0.4327,-0.2604,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.903658,2272,1677784352,899825334,imu1_frame,0,0,0,,0.2055850084638433,0.3760802639349894,0.38594343823012744,0.8169125423572697,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.683203,0.457572,0.260826,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.497,7.53,-6.422,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1324,-0.4268,-0.2659,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.928693,2273,1677784352,924692392,imu1_frame,0,0,0,,0.20994446731722133,0.3839641235852594,0.3787976233891962,0.815479756313416,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.682695,0.398933,0.33114,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.483,7.249,-6.466,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1291,-0.4255,-0.2742,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.954249,2274,1677784352,950254678,imu1_frame,0,0,0,,0.21442443181041482,0.3921510190255879,0.371243429932973,0.8138906910952941,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.745577,0.47098,0.324362,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.625,6.959,-6.782,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1258,-0.4208,-0.2785,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:32.978709,2275,1677784352,974373579,imu1_frame,0,0,0,,0.21994794901041986,0.40046427369171805,0.3618630909683348,0.8125923754364897,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.715499,0.52324,0.287677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.606,7.307,-6.346,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1214,-0.4183,-0.2882,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.004312,2276,1677784353,17881,imu1_frame,0,0,0,,0.22452011883442374,0.40867380657208346,0.35267726264230936,0.8112922928732816,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.656879,0.543784,0.370499,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.825,7.401,-6.482,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1204,-0.4136,-0.2924,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.028590,2277,1677784353,24014234,imu1_frame,0,0,0,,0.22865085133847662,0.4173917506761481,0.34286331020756666,0.8099059606912395,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.671042,0.56718,0.421838,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.086,6.889,-5.964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1171,-0.4112,-0.3021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.053608,2278,1677784353,49758911,imu1_frame,0,0,0,,0.23303654335693338,0.4257950980207442,0.33293264689615737,0.8084233770695124,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.652175,0.533879,0.382336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.157,6.565,-6.013,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1173,-0.4064,-0.3115,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.074383,2279,1677784353,72955608,imu1_frame,0,0,0,,0.23778899615680535,0.4333259703744221,0.32234796755458134,0.8073269378134453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.537288,0.600309,0.313045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.285,6.299,-5.799,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1151,-0.404,-0.313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.103516,2280,1677784353,99605083,imu1_frame,0,0,0,,0.24229193274931457,0.4402684959885821,0.3116502155647341,0.8064319028306159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.47601,0.502961,0.405652,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.291,7.89,-4.63,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1129,-0.4028,-0.3159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.127512,2281,1677784353,123914003,imu1_frame,0,0,0,,0.2406228150998831,0.4477239443449448,0.305531831871572,0.8051672063781617,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.283368,0.379654,0.695177,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.381,7.366,-4.622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1086,-0.3968,-0.3297,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.154184,2282,1677784353,150116920,imu1_frame,0,0,0,,0.2341526951251913,0.4550097064913726,0.3028941150251828,0.8039862171998688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.069238,0.298683,0.676019,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.419,5.048,-5.064,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.1018,-0.3991,-0.3261,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.178129,2283,1677784353,174026489,imu1_frame,0,0,0,,0.2331473276886136,0.4597855149031108,0.29739535724000704,0.8036140898273422,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.31448,0.41467,0.156325,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.661,5.548,-4.651,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0973,-0.4002,-0.3277,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.204531,2284,1677784353,200508356,imu1_frame,0,0,0,,0.2334868514839622,0.46487564438707674,0.29177754747026263,0.8026458672615493,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.239338,0.206651,0.576135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.735,7.264,-3.762,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.094,-0.3954,-0.336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.228484,2285,1677784353,224590539,imu1_frame,0,0,0,,0.22926543522868376,0.4708466784286698,0.28955538467662056,0.8011856494139576,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.327974,0.220514,0.510744,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.686,4.906,-4.461,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0861,-0.3976,-0.3324,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.254217,2286,1677784353,249915599,imu1_frame,0,0,0,,0.22990071750067376,0.47665544213364297,0.2843657030857781,0.799425666641738,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.599505,0.234,0.467114,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.871,6.019,-4.035,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0807,-0.3916,-0.3369,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
2023/03/02/14:12:33.278824,2287,1677784353,275002002,imu1_frame,0,0,0,,0.2325713529571336,0.483224528998049,0.278562465341323,0.7967481241027592,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.912577,0.122142,0.393248,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.859,5.161,-4.001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0763,-0.3904,-0.352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
