rosbagTimeStamp,Header,seq,stamp,secs,nsecs,frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675200673932374583,,0,,77473,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.0999999046325684,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200674931593306,,0,,77474,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.0999999046325684,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200675949197712,,0,,77475,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.0999999046325684,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200676950021209,,0,,77476,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.200000047683716,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200677932522042,,0,,77477,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.200000047683716,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200678950505319,,0,,77478,0,"""GPS1_frame""",42.33866500854492,-71.08458709716797,-2.200000047683716,1.2000000476837158,328274.1875,4689483.0,'',19,"""T"""
1675200679935150967,,0,,77479,0,"""GPS1_frame""",42.33866500854492,-71.0845947265625,-2.200000047683716,1.2000000476837158,328273.9375,4689483.5,'',19,"""T"""
1675200680950558317,,0,,77480,0,"""GPS1_frame""",42.33866882324219,-71.0845947265625,-2.0999999046325684,1.2000000476837158,328273.9375,4689484.0,'',19,"""T"""
1675200681933869117,,0,,77481,0,"""GPS1_frame""",42.33867263793945,-71.08458709716797,-1.7999999523162842,1.2000000476837158,328274.09375,4689484.5,'',19,"""T"""
1675200682933814149,,0,,77482,0,"""GPS1_frame""",42.33867645263672,-71.0845947265625,-1.5,1.2000000476837158,328273.96875,4689484.5,'',19,"""T"""
1675200683923743787,,0,,77483,0,"""GPS1_frame""",42.33867645263672,-71.0845947265625,-1.399999976158142,1.2000000476837158,328273.5625,4689484.5,'',19,"""T"""
1675200684932217171,,0,,77484,0,"""GPS1_frame""",42.33867645263672,-71.08460235595703,-1.2000000476837158,1.2000000476837158,328273.28125,4689485.0,'',19,"""T"""
1675200685931569597,,0,,77485,0,"""GPS1_frame""",42.338680267333984,-71.08460235595703,-0.8999999761581421,1.2000000476837158,328273.0,4689485.5,'',19,"""T"""
1675200686933974333,,0,,77486,0,"""GPS1_frame""",42.33868408203125,-71.08460998535156,-1.0,1.2000000476837158,328272.46875,4689485.5,'',19,"""T"""
1675200687932591434,,0,,77487,0,"""GPS1_frame""",42.33868408203125,-71.0846176147461,-1.7000000476837158,1.2000000476837158,328271.78125,4689485.5,'',19,"""T"""
1675200688931977025,,0,,77488,0,"""GPS1_frame""",42.338687896728516,-71.08462524414062,-2.0,1.2000000476837158,328271.375,4689486.0,'',19,"""T"""
1675200689931638471,,0,,77489,0,"""GPS1_frame""",42.338687896728516,-71.08462524414062,-1.399999976158142,1.2000000476837158,328271.53125,4689486.0,'',19,"""T"""
1675200690932724627,,0,,77490,0,"""GPS1_frame""",42.338687896728516,-71.08462524414062,-0.30000001192092896,1.2000000476837158,328271.375,4689486.0,'',19,"""T"""
1675200691929663910,,0,,77491,0,"""GPS1_frame""",42.33869171142578,-71.08462524414062,0.5,1.2000000476837158,328271.125,4689486.5,'',19,"""T"""
1675200692923680354,,0,,77492,0,"""GPS1_frame""",42.33869171142578,-71.08463287353516,0.8999999761581421,1.2000000476837158,328270.6875,4689486.5,'',19,"""T"""
1675200693930154624,,0,,77493,0,"""GPS1_frame""",42.338687896728516,-71.08463287353516,1.2999999523162842,1.2000000476837158,328270.4375,4689486.0,'',19,"""T"""
1675200694929995323,,0,,77494,0,"""GPS1_frame""",42.338687896728516,-71.08464050292969,1.600000023841858,1.2000000476837158,328270.0,4689486.0,'',19,"""T"""
1675200695929267962,,0,,77495,0,"""GPS1_frame""",42.33869171142578,-71.08464050292969,2.0,1.2000000476837158,328269.875,4689486.5,'',19,"""T"""
1675200696930986923,,0,,77496,0,"""GPS1_frame""",42.33869171142578,-71.08464813232422,2.4000000953674316,1.2000000476837158,328269.34375,4689486.5,'',19,"""T"""
